index,x,y,yaw,else
0,0.5665385127067566,-0.33369824290275574,-1.2037689770227478,
1,0.5665444135665894,-0.33370620012283325,-1.2038734214686204,
2,0.5665434002876282,-0.3337845504283905,-1.202721613347284,
3,0.5665712356567383,-0.3334380090236664,-1.202512193522211,
4,0.5674726963043213,-0.3341437876224518,-1.2019135279560496,
5,0.657346248626709,-0.3640621304512024,-1.2147047876916088,
6,0.8612706661224365,-0.4152388572692871,-1.1891345721701034,
7,1.114931583404541,-0.487777441740036,-1.318067936539007,
8,1.493181586265564,-0.5939135551452637,-1.3003333939483408,
9,1.8756903409957886,-0.6989485621452332,-1.2852471766051707,
10,2.179131031036377,-0.7774385809898376,-1.2181486215311228,
11,2.61069917678833,-0.8994029760360718,-1.2748239827413803,
12,2.892746686935425,-0.9729982614517212,-1.3560324218503854,
13,3.3125762939453125,-1.0793958902359009,-1.892053572979944,
14,3.6115734577178955,-1.1624958515167236,-1.9915727607500544,
15,3.8459486961364746,-1.2209974527359009,-1.9710039693775114,
16,4.346688747406006,-1.336234211921692,-1.9401116733954025,
17,4.7500457763671875,-1.4162464141845703,-1.9400858970478791,
18,5.007369518280029,-1.474468469619751,-1.9866803798958697,
19,5.302787780761719,-1.5104564428329468,-1.931709036331736,
20,5.6812944412231445,-1.423590064048767,-1.5964835766109535,
21,5.8591628074646,-1.2848073244094849,-1.2957423551980254,
22,6.0559468269348145,-1.0143753290176392,-0.8701544470460061,
23,6.218089580535889,-0.6347384452819824,-0.9042483101545242,
24,6.276257038116455,-0.3519333004951477,-0.6886319371969826,
25,6.274130821228027,-0.029619509354233742,-0.29742053394801715,
26,6.122840881347656,0.2720334827899933,0.14668447719844357,
27,5.8774590492248535,0.5158446431159973,0.5765958237347185,
28,5.395483016967773,0.7321136593818665,1.0756107558312114,
29,5.0141472816467285,0.8572567105293274,1.1628316427787888,
30,4.519830703735352,0.9864034056663513,1.2978492539389785,
31,4.057005405426025,1.0999428033828735,1.3740298424738115,
32,3.656956434249878,1.2079945802688599,1.4023959692831118,
33,3.169929027557373,1.32660973072052,1.550622210913777,
34,2.7801761627197266,1.4196549654006958,1.6630593070204165,
35,2.190495014190674,1.5830742120742798,1.6307500781199709,
36,1.7223173379898071,1.7454650402069092,1.539612831316091,
37,1.5664154291152954,1.8034321069717407,1.4006782913474616,
38,1.5669851303100586,1.8025518655776978,1.3311556595341612,
39,1.5672558546066284,1.8025864362716675,1.2987464253657717,
40,1.5671647787094116,1.8025965690612793,1.2964133097717916,
