x,y,
1.1673887,0.1209116,
2.405105,0.40915537,
3.629378,0.81067085,
4.84412,1.3018827,
6.016067,1.8673878,
7.177949,2.488988,
8.294,3.1742187,
9.365173,3.9070268,
